Path programma;Nome programma;Prima prod;Ultima prod;Cont;T lavoro;T pausa;T Pistola;Prodotto;A;B;C
RPContinuo\RP_ONLY_01.cma;RP_ONLY_01;10:31:06 AM;10:45:38 AM;1;00:14:31;00:00:01;00:01:19;0.00;0;0;0
RPContinuo\RP_VERT.cma;RP_VERT;11:12:44 AM;11:15:34 AM;1;00:02:34;00:00:17;00:01:32;0.00;0;0;0
RPContinuo\RP_VERT.cma;RP_VERT;11:22:30 AM;11:25:19 AM;1;00:02:34;00:00:16;00:01:32;0.00;0;0;0
RPContinuo\RP_ORIZ.cma;RP_ORIZ;11:26:05 AM;11:28:08 AM;1;00:01:42;00:00:20;00:01:21;0.00;0;0;0
RPContinuo\RP_VERT.cma;RP_VERT;2:25:52 PM;2:30:50 PM;1;00:04:44;00:00:15;00:01:30;0.00;0;0;0
RPContinuo\RP_ORIZ.cma;RP_ORIZ;2:32:17 PM;2:34:27 PM;1;00:01:43;00:00:27;00:01:21;0.00;0;0;0
RP_VERT.cma;RP_VERT;4:01:49 PM;4:28:28 PM;1;00:01:42;00:24:56;00:01:21;0.00;0;0;0
RP_ORIZ.cma;RP_ORIZ;5:09:05 PM;5:11:29 PM;1;00:01:42;00:00:42;00:01:21;0.00;0;0;0
