Path programma;Nome programma;Prima prod;Ultima prod;Cont;T lavoro;T pausa;T Pistola;Prodotto;A;B;C
1.cma;1;1:33:28 PM;4:09:32 PM;2;00:09:14;00:00:30;00:05:04;0.00;0;0;0
2.cma;2;4:21:00 PM;6:26:09 PM;4;00:21:19;00:02:48;00:12:08;0.00;0;0;0
